gru_risk,rl_risk,academic_issue,days_since_last_login,alerts_sent,alerts_responded,engagement_score
LOW,LOW,1,3,3,1,2.5886666666666667
HIGH,HIGH,0,6,2,0,4.632000000000001
HIGH,HIGH,0,9,3,0,3.73
LOW,LOW,0,0,3,1,3.1166666666666667
HIGH,HIGH,1,6,1,0,3.59
LOW,LOW,1,4,3,1,3.060666666666666
HIGH,HIGH,1,8,2,0,3.822
HIGH,HIGH,1,9,1,0,3.17
HIGH,HIGH,0,7,5,1,4.658
LOW,LOW,0,2,5,2,2.744
HIGH,HIGH,0,7,2,1,1.21
LOW,LOW,1,4,0,0,1.0099999999999998
HIGH,HIGH,1,6,0,0,1.9
LOW,LOW,1,0,5,2,0.7639999999999999
HIGH,HIGH,1,8,1,0,1.0539999999999998
HIGH,HIGH,1,6,0,0,3.94
LOW,LOW,0,5,4,1,1.492
LOW,LOW,1,3,3,1,2.658666666666667
LOW,LOW,1,1,2,0,1.942
LOW,LOW,1,2,3,1,3.398666666666667
LOW,LOW,0,0,3,1,2.1266666666666665
HIGH,HIGH,1,6,5,1,3.848
HIGH,HIGH,1,6,1,0,2.678
LOW,LOW,1,0,3,1,3.370666666666667
LOW,LOW,0,5,0,0,3.298
LOW,LOW,1,0,4,1,2.126
HIGH,HIGH,1,8,3,1,2.9646666666666666
LOW,LOW,1,0,0,0,2.694
HIGH,HIGH,1,9,4,1,0.71
LOW,LOW,1,2,1,0,4.088
LOW,LOW,1,3,1,0,3.88
LOW,LOW,0,0,1,0,5.374
LOW,LOW,0,1,3,1,3.4106666666666667
LOW,LOW,0,0,4,1,4.499999999999999
LOW,LOW,1,1,4,1,1.932
LOW,LOW,1,5,4,1,1.632
HIGH,HIGH,1,9,2,1,3.958
HIGH,HIGH,1,9,1,0,1.668
LOW,LOW,0,1,3,0,2.4920000000000004
HIGH,HIGH,0,6,4,2,4.432
LOW,LOW,0,1,1,0,6.674
LOW,LOW,0,3,5,3,4.38
LOW,LOW,0,3,5,3,4.11
LOW,LOW,0,2,5,3,4.462
HIGH,HIGH,1,6,5,4,3.3800000000000003
LOW,LOW,0,0,1,0,4.796
LOW,LOW,0,0,1,0,6.924
LOW,LOW,0,0,3,2,7.011333333333334
LOW,LOW,0,2,3,2,4.493333333333334
LOW,LOW,0,1,0,0,5.959999999999999
HIGH,HIGH,1,9,5,0,0.942
HIGH,HIGH,1,9,2,0,1.886
LOW,LOW,1,1,2,0,1.202
HIGH,HIGH,1,7,4,0,0.022
LOW,LOW,1,3,3,0,0.936
HIGH,HIGH,1,8,0,0,0.028
HIGH,HIGH,1,8,1,0,0.016
LOW,LOW,1,3,5,0,0.744
HIGH,HIGH,1,9,0,0,0.6
LOW,LOW,1,2,2,0,0.0
LOW,LOW,1,0,1,0,2.99
LOW,LOW,0,4,3,2,4.771333333333335
LOW,LOW,1,3,2,1,3.24
LOW,LOW,1,1,1,0,4.12
HIGH,HIGH,1,7,2,0,1.0399999999999998
LOW,LOW,0,4,4,2,4.656000000000001
LOW,LOW,1,4,2,1,0.5
HIGH,HIGH,1,9,1,0,3.526
HIGH,HIGH,1,6,1,0,3.47
HIGH,HIGH,1,6,0,0,1.608
LOW,LOW,1,4,3,1,2.6006666666666667
HIGH,HIGH,1,6,1,0,2.3000000000000003
LOW,LOW,1,5,5,2,2.552
LOW,LOW,0,4,4,2,0.3
HIGH,HIGH,1,9,3,1,1.9346666666666663
HIGH,HIGH,1,7,4,2,4.454
LOW,LOW,1,4,3,1,2.650666666666667
LOW,LOW,0,4,5,3,3.456
HIGH,HIGH,1,9,3,1,3.8486666666666665
LOW,LOW,0,4,5,3,5.586
HIGH,HIGH,0,7,3,2,4.419333333333333
HIGH,HIGH,0,8,0,0,7.17
LOW,LOW,0,3,2,1,7.164
HIGH,HIGH,1,7,4,3,7.224
LOW,LOW,0,2,1,0,6.276000000000001
LOW,LOW,0,3,5,3,5.704
LOW,LOW,0,1,0,0,4.698
HIGH,HIGH,0,6,3,3,9.641999999999998
HIGH,HIGH,0,7,4,3,6.152
HIGH,HIGH,0,8,2,1,5.682
HIGH,HIGH,0,9,2,0,4.0
HIGH,HIGH,1,9,2,1,1.114
LOW,LOW,1,2,1,0,6.164
LOW,LOW,1,0,1,0,2.668
LOW,LOW,0,4,3,1,2.1386666666666665
LOW,LOW,0,1,2,0,4.248
HIGH,HIGH,1,8,2,1,3.608
HIGH,HIGH,0,7,3,0,4.044
LOW,LOW,0,2,0,0,2.996
HIGH,HIGH,1,8,5,2,4.640000000000001
LOW,LOW,1,4,0,0,2.18
HIGH,HIGH,0,9,3,1,3.0846666666666667
HIGH,HIGH,0,6,5,3,4.112
HIGH,HIGH,1,7,5,1,0.3399999999999999
HIGH,HIGH,0,6,2,1,4.166
HIGH,HIGH,1,7,5,2,3.684
HIGH,HIGH,0,6,5,4,5.112
HIGH,HIGH,0,8,4,3,2.674
LOW,LOW,0,3,5,2,1.762
LOW,LOW,1,0,3,1,2.9406666666666665
LOW,LOW,1,0,5,3,4.006
LOW,LOW,0,2,1,0,4.038
LOW,LOW,0,3,5,3,3.49
LOW,LOW,1,5,5,2,3.93
LOW,LOW,1,5,4,2,3.004
HIGH,HIGH,1,6,2,0,2.504
LOW,LOW,0,3,5,3,4.542
LOW,LOW,0,3,1,0,1.718
HIGH,HIGH,0,8,4,2,1.89
LOW,LOW,0,5,4,2,3.754
HIGH,HIGH,1,6,0,0,3.85
LOW,LOW,1,4,0,0,2.596
LOW,LOW,0,1,1,0,5.0120000000000005
HIGH,HIGH,1,9,4,2,5.529999999999999
LOW,LOW,1,1,5,1,1.906
LOW,LOW,0,3,1,0,0.482
LOW,LOW,1,0,1,0,3.64
HIGH,HIGH,1,6,0,0,4.186
LOW,LOW,1,1,4,1,4.262
HIGH,HIGH,1,7,5,1,1.95
LOW,LOW,1,3,1,0,1.84
LOW,LOW,1,1,1,0,0.002
HIGH,HIGH,1,9,1,0,0.636
HIGH,HIGH,1,6,2,0,1.274
LOW,LOW,1,1,3,0,1.7060000000000002
HIGH,HIGH,1,8,3,1,0.7046666666666667
LOW,LOW,1,2,3,0,0.704
HIGH,HIGH,1,6,5,1,1.006
LOW,LOW,1,4,4,1,0.35
LOW,LOW,1,5,5,0,0.306
LOW,LOW,1,1,1,0,3.818
HIGH,HIGH,1,7,4,1,2.414
LOW,LOW,0,0,0,0,0.56
LOW,LOW,0,5,3,1,0.8826666666666666
LOW,LOW,0,5,2,1,3.47
LOW,LOW,1,3,5,4,4.61
HIGH,HIGH,0,9,2,1,3.434
LOW,LOW,1,5,2,0,5.136
LOW,LOW,0,4,4,2,5.08
HIGH,HIGH,0,7,1,0,2.364
HIGH,HIGH,1,7,3,1,4.3806666666666665
HIGH,HIGH,1,8,1,0,4.276
HIGH,HIGH,1,7,4,1,4.226
LOW,LOW,0,4,2,0,3.094
LOW,LOW,1,3,3,2,2.779333333333333
HIGH,HIGH,0,8,2,1,2.768
LOW,LOW,0,3,2,1,4.416
LOW,LOW,1,0,4,1,4.502
LOW,LOW,1,3,5,2,4.612
LOW,LOW,0,5,5,3,4.116
HIGH,HIGH,0,8,5,4,5.606
LOW,LOW,0,3,4,4,5.474
LOW,LOW,0,1,4,2,5.072
HIGH,HIGH,1,6,2,1,4.928
HIGH,HIGH,0,7,0,0,5.704
LOW,LOW,0,5,3,2,5.475333333333333
LOW,LOW,0,3,4,3,3.518
HIGH,HIGH,0,6,2,1,4.43
LOW,LOW,0,4,1,1,6.452000000000001
HIGH,HIGH,1,9,3,2,5.477333333333333
LOW,LOW,0,4,0,0,1.0499999999999998
LOW,LOW,0,5,0,0,1.148
LOW,LOW,1,5,0,0,3.21
LOW,LOW,0,1,2,1,1.3199999999999998
LOW,LOW,1,1,0,0,4.55
LOW,LOW,1,0,3,1,4.222666666666667
LOW,LOW,0,4,4,2,0.944
HIGH,HIGH,1,9,0,0,4.728
LOW,LOW,1,5,3,1,6.064666666666667
HIGH,HIGH,1,6,2,0,4.55
LOW,LOW,0,0,3,1,3.434666666666667
LOW,LOW,0,1,1,0,4.69
LOW,LOW,0,2,2,1,6.972
LOW,LOW,0,2,0,0,0.782
HIGH,HIGH,1,6,1,0,3.648
LOW,LOW,0,2,4,2,5.66
LOW,LOW,0,2,2,1,4.752000000000001
HIGH,HIGH,1,6,2,0,5.43
